kx	ky	energy
-2.994330	-1.472622	3.326081	3.238557
-2.994330	-1.423534	3.228654	3.141130
-2.994330	-1.374447	3.131935	3.044410
-2.994330	-1.325359	3.036155	2.948630
-2.994330	-1.276272	2.941546	2.854021
-2.994330	-1.227185	2.848336	2.760811
-2.994330	-1.178097	2.756748	2.669224
-2.994330	-1.129010	2.667005	2.579481
-2.994330	-1.079922	2.579322	2.491797
-2.994330	-1.030835	2.493910	2.406385
-2.994330	-0.981748	2.410975	2.323450
-2.994330	-0.932660	2.330717	2.243192
-2.994330	-0.883573	2.253329	2.165804
-2.994330	-0.834486	2.178997	2.091473
-2.994330	-0.785398	2.107902	2.020377
-2.994330	-0.736311	2.040213	1.952689
-2.994330	-0.687223	1.976094	1.888570
-2.994330	-0.638136	1.915700	1.828176
-2.994330	-0.589049	1.859176	1.771652
-2.994330	-0.539961	1.806658	1.719134
-2.994330	-0.490874	1.758273	1.670748
-2.994330	-0.441786	1.714137	1.626612
-2.994330	-0.392699	1.674356	1.586832
-2.994330	-0.343612	1.639027	1.551503
-2.994330	-0.294524	1.608235	1.520710
-2.994330	-0.245437	1.582053	1.494528
-2.994330	-0.196350	1.560545	1.473020
-2.994330	-0.147262	1.543762	1.456238
-2.994330	-0.098175	1.531746	1.444221
-2.994330	-0.049087	1.524524	1.437000
-2.994330	0.000000	1.522115	1.434591
-2.994330	0.049087	1.524524	1.437000
-2.994330	0.098175	1.531746	1.444221
-2.994330	0.147262	1.543762	1.456238
-2.994330	0.196350	1.560545	1.473020
-2.994330	0.245437	1.582053	1.494528
-2.994330	0.294524	1.608235	1.520710
-2.994330	0.343612	1.639027	1.551503
-2.994330	0.392699	1.674356	1.586832
-2.994330	0.441786	1.714137	1.626612
-2.994330	0.490874	1.758273	1.670748
-2.994330	0.539961	1.806658	1.719134
-2.994330	0.589049	1.859176	1.771652
-2.994330	0.638136	1.915700	1.828176
-2.994330	0.687223	1.976094	1.888570
-2.994330	0.736311	2.040213	1.952689
-2.994330	0.785398	2.107902	2.020377
-2.994330	0.834486	2.178997	2.091473
-2.994330	0.883573	2.253329	2.165804
-2.994330	0.932660	2.330717	2.243192
-2.994330	0.981748	2.410975	2.323450
-2.994330	1.030835	2.493910	2.406385
-2.994330	1.079922	2.579322	2.491797
-2.994330	1.129010	2.667005	2.579481
-2.994330	1.178097	2.756748	2.669224
-2.994330	1.227185	2.848336	2.760811
-2.994330	1.276272	2.941546	2.854021
-2.994330	1.325359	3.036155	2.948630
-2.994330	1.374447	3.131935	3.044410
-2.994330	1.423534	3.228654	3.141130
-2.994330	1.472622	3.326081	3.238557
-2.994330	1.521709	3.423980	3.336455
-2.994330	1.570796	3.522115	3.434591
-2.994330	1.619884	3.620251	3.532726
-2.994330	1.668971	3.718150	3.630625
-2.994330	1.718058	3.815576	3.728052
-2.994330	1.767146	3.912296	3.824771
-2.994330	1.816233	4.008076	3.920551
-2.994330	1.865321	4.102685	4.015160
-2.994330	1.914408	4.195895	4.108371
-2.994330	1.963495	4.287482	4.199958
-2.994330	2.012583	4.377225	4.289701
-2.994330	2.061670	4.464909	4.377384
-2.994330	2.110758	4.550321	4.462796
-2.994330	2.159845	4.633256	4.545731
-2.994330	2.208932	4.713514	4.625989
-2.994330	2.258020	4.790902	4.703377
-2.994330	2.307107	4.865233	4.777709
-2.994330	2.356194	4.936329	4.848804
-2.994330	2.405282	5.004017	4.916493
-2.994330	2.454369	5.068136	4.980612
-2.994330	2.503457	5.128530	5.041006
