path	fm energy1	fm energy2	fm_ energy1	fm_ energy2	afm energy1	afm energy2
207	4.939547	-0.500033	1.378995	6.818575	-0.142976	6.461518
208	-0.545610	4.985124	6.864152	1.333419	-0.180614	6.499156
209	5.030240	-0.590726	6.909268	1.288303	-0.218063	6.536606
210	5.074867	-0.635353	6.953896	1.243675	-0.255290	6.573833
211	-0.679466	5.118980	1.199563	6.998008	-0.292260	6.610803
212	-0.723036	5.162551	1.155992	7.041579	-0.328939	6.647481
213	5.205553	-0.766039	1.112989	7.084582	-0.365294	6.683836
214	5.247963	-0.808448	7.126991	1.070580	-0.401291	6.719834
215	5.289752	-0.850238	7.168781	1.028790	-0.436900	6.755443
216	5.330898	-0.891383	7.209926	0.987645	-0.472088	6.790631
217	-0.931859	5.371373	0.947169	7.250402	-0.506825	6.825368
218	5.411156	-0.971642	7.290184	0.907387	-0.541080	6.859623
219	-1.010706	5.450220	0.868322	7.329249	-0.574824	6.893367
220	-1.049029	5.488544	0.829999	7.367572	-0.608028	6.926570
221	-1.086589	5.526103	7.405131	0.792440	-0.640663	6.959205
222	5.562875	-1.123361	0.755667	7.441903	-0.672701	6.991244
223	-1.159324	5.598838	7.477866	0.719704	-0.704117	7.022659
224	-1.194456	5.633971	7.512999	0.684572	-0.734882	7.053425
225	5.668251	-1.228737	7.547280	0.650291	-0.764973	7.083515
226	-1.262145	5.701659	0.616883	7.580688	-0.794363	7.112905
227	-1.294661	5.734175	0.584368	7.613203	-0.823028	7.141571
228	5.765778	-1.326264	7.644806	0.552764	-0.850946	7.169488
229	5.796450	-1.356936	0.522093	7.675478	-0.878093	7.196635
230	5.826172	-1.386658	7.705200	0.492370	-0.904447	7.222990
231	-1.415413	5.854927	0.463616	7.733955	-0.929987	7.248530
232	5.882696	-1.443182	7.761725	0.435846	-0.954693	7.273235
233	-1.469950	5.909464	0.409078	7.788493	-0.978544	7.297087
234	5.935214	-1.495700	7.814243	0.383328	-1.001522	7.320064
235	5.959931	-1.520417	7.838959	0.358611	-1.023608	7.342150
236	5.983600	-1.544085	7.862628	0.334943	-1.044785	7.363327
237	-1.566692	6.006206	0.312337	7.885234	-1.065036	7.383578
238	-1.588222	6.027736	0.290807	7.906764	-1.084345	7.402887
239	6.048177	-1.608662	7.927205	0.270366	-1.102697	7.421239
240	6.067516	-1.628002	7.946544	0.251026	-1.120078	7.438620
241	6.085743	-1.646229	7.964771	0.232800	-1.136473	7.455016
242	-1.663331	6.102845	0.215697	7.981874	-1.151871	7.470414
243	6.118813	-1.679299	7.997842	0.199729	-1.166260	7.484802
244	6.133638	-1.694124	8.012666	0.184905	-1.179627	7.498170
245	-1.707795	6.147309	0.171233	8.026338	-1.191963	7.510506
246	6.159820	-1.720305	0.158723	8.038848	-1.203259	7.521801
247	-1.731647	6.171161	0.147381	8.050190	-1.213505	7.532048
248	-1.741813	6.181328	8.060356	0.137215	-1.222694	7.541236
249	-1.750798	6.190312	0.128230	8.069341	-1.230818	7.549361
250	-1.758596	6.198110	0.120432	8.077138	-1.237872	7.556415
251	6.204716	-1.765202	8.083744	0.113826	-1.243850	7.562392
252	-1.770612	6.210127	8.089155	0.108416	-1.248747	7.567290
253	-1.774824	6.214338	8.093366	0.104204	-1.252560	7.571102
254	-1.777834	6.217348	8.096376	0.101194	-1.255285	7.573828
255	6.219155	-1.779641	8.098183	0.099388	-1.256922	7.575464
256	6.219456	-1.779942	8.098484	0.099087	-1.257194	7.575737
257	-1.778737	6.218251	0.100291	8.097280	-1.256103	7.574646
258	6.214638	-1.775124	8.093666	0.103904	-1.252832	7.571374
259	-1.769104	6.208619	0.109924	8.087647	-1.247382	7.565924
260	6.200196	-1.760682	8.079225	0.118346	-1.239760	7.558302
261	6.189376	-1.749862	0.129166	8.068405	-1.229972	7.548514
262	-1.736651	6.176165	0.142377	8.055194	-1.218027	7.536570
263	-1.721057	6.160571	8.039599	0.157972	-1.203938	7.522480
264	6.142603	-1.703089	8.021631	0.175940	-1.187716	7.506258
265	-1.682758	6.122272	8.001300	0.196271	-1.169377	7.487920
266	-1.660076	6.099590	7.978618	0.218953	-1.148940	7.467482
267	-1.635057	6.074571	0.243971	7.953599	-1.126422	7.444965
268	-1.607716	6.047230	7.926259	0.271312	-1.101847	7.420389
269	6.017584	-1.578070	7.896612	0.300959	-1.075238	7.393780
270	5.985650	-1.546136	7.864678	0.332893	-1.046620	7.365163
271	5.951447	-1.511933	7.830476	0.367095	-1.016024	7.334566
272	-1.475483	5.914997	0.403546	7.794025	-0.983478	7.302021
273	5.876321	-1.436807	0.442222	7.755349	-0.949017	7.267560
274	5.835442	-1.395928	7.714470	0.483101	-0.912676	7.231219
275	5.792385	-1.352871	0.526157	7.671414	-0.874492	7.193035
276	5.747177	-1.307662	7.626205	0.571366	-0.834507	7.153050
277	5.699843	-1.260329	0.618699	7.578871	-0.792763	7.111306
278	-1.210899	5.650413	0.668129	7.529441	-0.749306	7.067849
279	-1.159403	5.598917	0.719626	7.477945	-0.704186	7.022728
280	5.545385	-1.105871	0.773157	7.424413	-0.657452	6.975995
281	5.489850	-1.050336	0.828692	7.368878	-0.609162	6.927704
282	-0.992831	5.432345	0.886197	7.311374	-0.559371	6.877913
283	-0.933391	5.372905	0.945637	7.251934	-0.508142	6.826685
284	5.311566	-0.872052	7.190594	1.006976	-0.455540	6.774082
285	5.248364	-0.808850	7.127393	1.070178	-0.401633	6.720176
286	5.183338	-0.743824	7.062367	1.135204	-0.346494	6.665037
287	5.116527	-0.677013	1.202015	6.995556	-0.290200	6.608743
288	5.047971	-0.608457	6.927000	1.270571	-0.232833	6.551376
289	4.977712	-0.538197	6.856740	1.340831	-0.174479	6.493021
290	4.905791	-0.466276	6.784819	1.412752	-0.115229	6.433772
291	4.832252	-0.392738	1.486291	6.711280	-0.055181	6.373724
292	4.757139	-0.317625	1.561403	6.636167	0.005562	6.312981
293	4.680498	-0.240984	6.559526	1.638044	0.066890	6.251653
294	4.602375	-0.162861	6.481403	1.716168	0.128686	6.189856
295	4.522816	-0.083302	6.401845	1.795726	0.190827	6.127715
296	-0.002357	4.441871	6.320899	1.876672	0.253180	6.065362
297	4.359586	0.079928	6.238615	1.958956	0.315603	6.002939
298	4.276013	0.163501	6.155042	2.042529	0.377947	5.940596
299	4.191201	0.248313	6.070230	2.127341	0.440049	5.878494
300	0.334312	4.105202	2.213340	5.984230	0.501739	5.816804
301	0.421447	4.018067	5.897095	2.300476	0.562832	5.755710
302	0.509665	3.929849	2.388694	5.808877	0.623134	5.695408
303	0.598914	3.840600	2.477942	5.719629	0.682437	5.636106
304	3.750376	0.689139	5.629404	2.568167	0.740517	5.578025
305	0.780285	3.659229	5.538257	2.659314	0.797142	5.521401
306	3.567215	0.872299	2.751327	5.446243	0.852061	5.466482
307	3.474390	0.965125	5.353418	2.844153	0.905013	5.413529
308	3.380808	1.058706	5.259837	2.937734	0.955725	5.362818
309	3.286528	1.152986	5.165556	3.032015	1.003911	5.314631
310	3.191605	1.247910	3.126938	5.070633	1.049280	5.269263
311	1.343418	3.096096	3.222446	4.975124	1.091532	5.227011
312	1.439455	3.000060	3.318483	4.879088	1.130368	5.188175
313	1.535961	2.903553	4.782581	3.414989	1.165492	5.153050
314	2.806635	1.632879	4.685663	3.511908	1.196619	5.121923
315	2.709363	1.730151	3.609180	4.588391	1.223479	5.095063
316	1.827718	2.611796	3.706746	4.490824	1.245826	5.072716
317	2.513993	1.925521	4.393021	3.804549	1.263446	5.055096
318	2.023501	2.416013	3.902529	4.295041	1.276164	5.042379
319	2.121600	2.317915	4.196943	4.000628	1.283848	5.034694
320	2.219757	2.219757	4.098785	4.098785	1.286419	5.032124
321	2.121600	2.317915	4.000628	4.196943	1.283848	5.034694
322	2.023501	2.416013	3.902529	4.295041	1.276164	5.042379
323	2.513993	1.925521	3.804549	4.393021	1.263446	5.055096
324	2.611796	1.827718	3.706746	4.490824	1.245826	5.072716
325	1.730151	2.709363	3.609180	4.588391	1.223479	5.095063
326	2.806635	1.632879	4.685663	3.511908	1.196619	5.121923
327	1.535961	2.903553	3.414989	4.782581	1.165492	5.153050
328	3.000060	1.439455	4.879088	3.318483	1.130368	5.188175
329	3.096096	1.343418	4.975124	3.222446	1.091532	5.227011
330	3.191605	1.247910	5.070633	3.126938	1.049280	5.269263
331	1.152986	3.286528	3.032015	5.165556	1.003911	5.314631
332	3.380808	1.058706	5.259837	2.937734	0.955725	5.362818
333	3.474390	0.965125	5.353418	2.844153	0.905013	5.413529
334	0.872299	3.567215	5.446243	2.751327	0.852061	5.466482
335	3.659229	0.780285	5.538257	2.659314	0.797142	5.521401
336	0.689139	3.750376	2.568167	5.629404	0.740517	5.578025
337	3.840600	0.598914	5.719629	2.477942	0.682437	5.636106
338	3.929849	0.509665	5.808877	2.388694	0.623134	5.695408
339	4.018067	0.421447	5.897095	2.300476	0.562832	5.755710
340	4.105202	0.334312	5.984230	2.213340	0.501739	5.816804
341	4.191201	0.248313	6.070230	2.127341	0.440049	5.878494
342	0.163501	4.276013	2.042529	6.155042	0.377947	5.940596
343	4.359586	0.079928	1.958956	6.238615	0.315603	6.002939
344	4.441871	-0.002357	6.320899	1.876672	0.253180	6.065362
345	4.522816	-0.083302	1.795726	6.401845	0.190827	6.127715
346	4.602375	-0.162861	6.481403	1.716168	0.128686	6.189856
347	4.680498	-0.240984	1.638044	6.559526	0.066890	6.251653
348	-0.317625	4.757139	1.561403	6.636167	0.005562	6.312981
349	4.832252	-0.392738	6.711280	1.486291	-0.055181	6.373724
